"system.index","X","Y","aadt","cntr","cveh2011_1k","cveh2011_10k","cveh2011_100k","cveh2011_12k","cveh2011_15k","cveh2011_150k","cveh2011_20k","cveh2011_200k","cveh2011_25k","cveh2011_30k","cveh2011_45k","cveh2011_5k","cveh2011_50k","cveh2011_75k","cveh2011_8k","elevation","highway_100","highway_200","highway_300","highway_400","highway_50","highway_500","imd_2012_100","imd_2012_1k","imd_2012_10k","imd_2012_1200","imd_2012_1500","imd_2012_1800","imd_2012_200","imd_2012_2k","imd_2012_2500","imd_2012_300","imd_2012_3500","imd_2012_400","imd_2012_4k","imd_2012_500","imd_2012_5k","imd_2012_600","imd_2012_6k","imd_2012_700","imd_2012_7k","imd_2012_800","imd_2012_8k","lane_10_primary","lane_10_residential","lane_10_unclassified","lane_20_highway","maxv_10_primary","maxv_10_residential","maxv_10_unclassified","maxv_20_highway","method","pcar2011_1k","pcar2011_10k","pcar2011_100k","pcar2011_12k","pcar2011_15k","pcar2011_150k","pcar2011_20k","pcar2011_200k","pcar2011_25k","pcar2011_30k","pcar2011_45k","pcar2011_5k","pcar2011_50k","pcar2011_75k","pcar2011_8k","pop2011","pop2011_1k","pop2011_10k","pop2011_100k","pop2011_12k","pop2011_15k","pop2011_150k","pop2011_20k","pop2011_200k","pop2011_25k","pop2011_30k","pop2011_45k","pop2011_5k","pop2011_50k","pop2011_75k","pop2011_8k","primary_100","primary_200","primary_300","primary_400","primary_50","primary_500","res_2012_100","res_2012_1k","res_2012_10k","res_2012_1200","res_2012_1500","res_2012_1800","res_2012_200","res_2012_2k","res_2012_2500","res_2012_300","res_2012_3500","res_2012_400","res_2012_4k","res_2012_500","res_2012_5k","res_2012_600","res_2012_6k","res_2012_700","res_2012_7k","res_2012_800","res_2012_8k","slope","unclassified_100","unclassified_200","unclassified_300","unclassified_400","unclassified_50","unclassified_500","year",".geo","lane_10_localA","maxv_10_localA","localA_50","localA_100","localA_200","localA_300","localA_400","localA_500","residential_50","residential_100","residential_200","residential_300","residential_400","residential_500","road_tag","area_type"
"00000000000000001506_0",3519892.5,3459172.5,1279,"UK",704,23334,922804,34239,54961,1521086,110032,1806209,177441,234339,397125,8252,450457,747498,14344,176,0,0,0,0,0,0,1,82,3777,106,166,222,4,269,434,8,798,13,960,21,1273,29,1587,40,1859,53,2305,0,1,0,0,0,0,0,0,"Manual count",5191,172048,6803962,252453,405241,11215175,811285,13317426,1308298,1727813,2928062,60846,3321284,5511404,105765,2472,10509,348276,13773204,511039,820327,22702784,1642279,27042647,2648378,3497599,5927253,123171,6723248,11156690,214101,0,0,0,0,0,0,5,242,7740,318,458,576,13,667,1029,27,1872,43,2161,67,2826,93,3427,123,3980,161,4860,2.928389,0,95,215,380,0,495,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.1748463824404176,53.63235051435344]}",0,0,0,157.63286,397.57224,590.67664,832.6512,1241.87417,159.01752,345.64758,1441.9185,2951.6204,4732.8086,6134.2236,"residential","urban"
"000000000000000009b2_0",4623577.5,2137757.5,4672,"IT",29,660,318988,919,1276,802334,3655,1286421,9257,14792,46268,149,66315,147809,386,750,0,0,0,0,0,0,0,12,224,14,16,17,0,18,22,1,36,1,44,3,55,5,69,7,97,8,156,2,0,0,0,90,0,0,0,"Automatic counter",223,4971,2402018,6924,9611,6041676,27530,9686911,69711,111390,348409,1122,499360,1113020,2911,2,358,7954,3843229,11079,15379,9667119,44048,15499629,111539,178224,557455,1796,798976,1780832,4658,199.78815,404.75006,601.9624,935.9302,84.39241,1158.4958,0,0,255,0,0,0,0,0,0,0,19,0,33,0,33,0,33,0,58,0,141,0.2852468,5,170,290,420,0,515,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.657226557715335,42.27845111272022]}",0,0,91.62767,192.43391,404.77692,569.4805,882.94322,2337.9169,0,0,42.642483,157.65799,276.84967,393.90253,"primary","rural"
"00000000000000001988_0",3574572.5,3426422.5,27510,"UK",1065,22254,950678,32304,55379,1580261,88739,2023000,109543,123764,224791,6209,283095,655738,14340,146,0,0,0,0,0,0,2,113,4528,143,185,220,6,234,291,12,592,21,767,35,1087,51,1611,66,2182,83,2946,2,0,0,0,64,0,0,0,"Manual count",7854,164087,7009476,238187,408319,11651478,654288,14915856,807680,912534,1657417,45785,2087300,4834846,105733,4292,15900,332160,14189224,482160,826558,23585989,1324471,30194042,1634981,1847235,3355097,92683,4225304,9787138,214036,426.8553,876.99646,1277.5834,1731.8945,157.82628,2126.028,5,256,7417,317,416,494,13,522,612,29,1207,49,1530,80,1998,111,2700,143,3743,181,5000,1.4361479,0,0,15,30,0,30,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.279167094874276,53.42172778499152]}",0,0,0,79.254,322.0982,547.83962,757.84467,960.17234,25.09269,164.36302,867.6342,2333.3083,4809.463,8724.729,"primary","urban"
"00000000000000000ee2_0",3401937.5,3716892.5,698,"UK",198,6083,217250,7349,9906,359750,15788,448349,24717,47532,117928,735,131139,170067,4361,46,0,0,0,0,0,0,3,48,1401,54,72,96,6,100,106,11,119,17,124,25,161,31,337,36,557,41,893,0,1,0,0,0,48,0,0,"Manual count",1460,44856,1601817,54191,73044,2652465,116411,3298478,182245,350466,869503,5422,966909,1253929,32156,494,2956,90803,3242545,109700,147863,5372168,235651,6767486,368918,709447,1760129,10976,1957306,2538319,65095,0,0,0,0,0,0,5,109,2327,130,151,163,12,163,163,26,163,39,163,58,200,71,520,83,896,94,1519,4.2353415,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.730321848059042,55.705370025659356]}",0,0,0,0,0,239.45235,670.78815,1545.6923,101.00556,535.9798,2053.94,3473.0874,5100.7676,6772.975,"residential","urban"
"00000000000000000f93_0",3545087.5,3385937.5,291,"UK",59,3260,1210696,5962,15720,1681503,32978,2590914,53100,89884,235855,240,276350,784181,1043,211,0,0,0,0,0,0,2,12,569,16,23,37,5,44,46,8,55,10,60,10,80,10,105,11,193,11,293,0,1,0,0,0,0,0,0,"Manual count",436,24041,8926624,43959,115910,12397948,243155,19103162,391516,662734,1738991,1776,2037572,5781876,7691,455,883,48667,18070090,88986,234636,25097061,492218,38670369,792543,1341567,3520225,3597,4124640,11704203,15570,0,301.6359,542.42145,741.7475,0,1001.3175,5,31,1026,31,31,31,12,31,31,21,31,27,31,29,31,31,34,31,131,31,386,3.4509482,0,0,80,260,0,380,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.6195734530828794,53.02149696931272]}",0,0,0,0,0,0,13.79611,123.57788,117.16926,429.961,1289.2686,1816.1313,1917.9042,2088.1348,"residential","urban"
"000000000000000027e7_0",3321637.5,3130087.5,1015,"UK",1098,19792,115564,20745,22436,257065,24540,490682,26802,28932,47952,12666,56433,93200,17087,59,0,0,0,913.12317,0,2313.356,2,98,3309,131,220,321,6,415,628,13,1109,20,1388,33,2108,45,2514,56,2726,71,2960,0,1,0,0,0,32,0,0,"Manual count",8098,145929,852072,152955,165429,1895381,180941,3569100,197615,213322,353557,93391,416090,687176,125990,5236,16394,295404,1724844,309627,334877,3836805,366279,7229181,400031,431827,715704,189052,842289,1391045,255041,0,0,0,127.30641,0,229.23784,5,201,5779,291,525,759,13,945,1400,27,2216,42,2692,67,3812,87,4259,105,4508,129,4971,2.3162868,0,0,10,70,0,175,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-4.159291623254564,50.409570178375525]}",0,0,0,0,385.30194,815.8992,1445.2919,2425.5064,100.50839,602.33136,1690.4446,3517.9316,6145.631,9128.972,"residential","urban"
"00000000000000000a36_0",4267502.5,1964552.5,237,"IT",4,303,61480,501,908,95801,4015,154890,7023,8927,15269,131,18265,43331,222,492,0,0,0,0,0,0,0,0,85,0,1,1,0,1,2,0,4,0,5,0,23,0,39,0,52,0,67,2,0,0,0,50,0,0,0,"Automatic counter",31,2285,456736,3777,6840,680643,30238,1108310,52886,67221,114978,988,137540,325527,1675,10,50,3656,736123,6044,10944,1123435,48381,1822253,84618,107555,183967,1581,220065,521490,2681,182.32027,389.68445,597.69995,801.29315,104.22536,1043.2288,0,0,90,0,0,0,0,0,0,0,0,0,0,0,32,0,63,0,63,0,63,2.0137,0,0,0,0,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.36917164922154,40.77704967772456]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"primary","rural"
"00000000000000001e1d_0",3612047.5,3550782.5,11611,"UK",53,7661,321885,9309,14098,760117,28196,1239203,38726,42291,78687,3419,98254,208876,6431,86,0,0,0,0,0,0,0,3,2384,8,21,62,0,107,232,0,320,0,383,0,596,0,901,0,1305,1,1624,2,0,0,0,96,0,0,0,"Manual count",391,56488,2373306,68641,103948,5604451,207893,9136810,285533,311819,580171,25209,724443,1540074,47417,14,793,114350,4804265,138950,210423,11345043,420837,18495568,578003,631214,1174436,51032,1466485,3117560,95986,221.329,401.32745,583.1955,790.19604,125.30078,991.3706,0,0,2467,7,36,110,0,199,431,0,585,0,702,0,1083,0,1523,0,1872,0,1980,3.5435593,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.0091689912104835,54.575558009581734]}",0,0,0,0,0,0,0,151.3202,0,0,0,0,0,0,"primary","rural"
"000000000000000008ef_0",4741312.5,1632582.5,1005,"IT",2,3830,271477,5723,6857,413466,14873,477658,17963,28316,97830,465,110889,163706,676,284,0,0,0,0,0,0,0,1,428,1,1,2,0,2,4,0,24,0,34,0,42,0,46,0,67,1,95,0,0,1,0,0,0,0,0,"Automatic counter",18,28846,2044256,43098,51640,3113455,111996,3596826,135265,213224,736677,3506,835008,1232728,5095,7,30,46154,3270968,68957,82624,4981721,179194,6131575,216425,341159,1178686,5611,1336016,1972369,8152,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,26,0,37,0,41,0,41,0,41,0,75,7.901108,40,80,155,200,20,245,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.730452021515648,37.653270309656776]}",2,50,125.31341,200.4975,457.70062,660.7096,914.39966,1126.7388,0,0,83.80827,206.48924,206.48924,206.48924,"localA","rural"
"00000000000000001365_0",3642272.5,3457277.5,493,"UK",1307,23833,412376,25318,27619,986849,30425,1782532,33671,40614,64607,12954,71938,170344,19626,2,0,0,0,0,0,0,3,121,4805,179,300,441,8,547,792,18,1271,29,1575,44,2378,57,3030,66,3539,77,3986,0,1,0,0,0,48,0,0,"Manual count",9642,175724,3040507,186680,203644,7276171,224331,13142851,248263,299455,476360,95514,530415,1255970,144709,5419,19520,355718,6154874,377895,412235,14729093,454112,26604963,502558,606185,964292,193350,1073716,2542450,292934,0,0,0,0,0,0,5,201,7056,281,444,664,13,825,1182,29,2066,49,2526,78,3480,105,4364,128,4966,146,5575,0.4056882,0,0,5,190,0,410,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.3365906535225779,53.785880064976745]}",0,0,0,0,0,0,0,0,143.19838,715.88434,2404.6177,4911.078,8504.766,11903.281,"residential","urban"
"000000000000000025c1_0",3504962.5,3339727.5,70,"UK",1247,58503,797781,72717,98245,1833365,145626,2958082,184606,214460,286005,17491,326046,517943,40233,152,25.95639,751.3348,1921.4873,2732.444,0,3358.2085,2,157,11009,218,333,447,6,548,866,15,1657,24,2148,40,3447,59,4796,77,6255,100,7898,0,1,0,0,0,0,0,0,"Manual count",9195,431356,5882149,536156,724375,13517649,1073723,21810338,1361127,1581244,2108758,128970,2403981,3818864,296643,5211,18614,873191,11907186,1085338,1466347,27363663,2173530,44150483,2755318,3200899,4268741,261073,4866360,7730495,600493,0,0,0,555.8958,0,860.1891,5,197,17946,291,514,744,11,946,1483,21,2909,35,3704,53,5402,69,7549,91,10029,119,12897,0.8603306,30,110,310,390,0,450,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.0953687519337154,52.553995615547905]}",0,0,0,0,0,0,0,8.797229,168.36887,617.9035,1701.2701,2752.8125,3633.5132,4419.668,"residential","urban"
"00000000000000000a92_0",4328382.5,2344737.5,3884,"IT",55,1703,417123,2304,5832,900884,18777,1868960,30139,38394,57564,558,63531,197348,1112,167,0,0,0,0,0,0,0,3,249,5,9,10,0,12,15,0,29,0,44,0,62,0,79,0,107,0,148,2,0,0,0,50,0,0,0,"Automatic counter",415,12825,3140987,17350,43923,6783516,141395,14048182,226955,289117,433465,4205,478396,1486057,8373,22,664,20521,5025657,27761,70277,10853928,226233,22515668,363167,462627,693585,6729,765476,2377733,13398,201.24028,398.1063,629.76276,843.32263,125.67427,1065.629,0,23,646,44,53,57,0,69,82,0,120,0,149,0,187,0,229,0,309,2,423,9.617276,0,20,60,120,0,210,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.092175423269207,44.21286301350885]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"primary","rural"
"0000000000000000050c_0",4495002.5,3310327.5,4738,"DE",5,390,210573,574,1441,375753,2511,728982,2960,3635,10808,92,16899,151145,172,36,0,0,0,0,0,0,0,2,384,5,5,6,0,7,8,0,39,0,48,0,78,0,96,0,132,0,166,2,0,0,0,50,0,0,0,"Automatic counter",71,5492,2959106,8075,20254,4874572,35286,9272391,41596,51090,151886,1294,237484,2123987,2423,0,134,10285,5541398,15123,37930,9172570,66080,17492662,77897,95676,284431,2425,444728,3977505,4538,200.31686,400.85037,576.4944,779.7941,125.05285,983.9638,0,14,1036,29,32,32,0,32,38,0,129,0,170,0,311,1,377,3,504,4,588,0.64147574,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.584729165669131,52.87381738540334]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"primary","rural"
"000000000000000000e2_0",4194542.5,3191292.5,66156,"DE",129,3461,422425,5582,6622,981395,14855,1664106,21818,32939,89493,971,112623,247262,1398,111,380.80762,801.88354,1180.074,1575.0491,188.8171,2007.505,0,21,2315,42,71,113,1,163,328,1,551,1,604,2,644,3,717,5,794,8,977,0,0,0,3,0,0,0,130,"Automatic counter",1816,48649,5863890,78448,93060,13069960,208761,20298261,306604,462885,1257625,13655,1582657,3474691,19653,398,3401,91103,10991117,146907,174271,24597983,390939,38560885,574166,866826,2355103,25572,2963778,6506913,36804,0,0,0,0,0,0,0,33,2606,67,119,173,0,251,500,0,747,0,770,0,773,1,826,2,864,6,1036,2.0263271,0,0,0,145,0,365,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.165907833434964,51.81757628967185]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"highway","rural"
"0000000000000000165b_0",3576412.5,3207177.5,120210,"UK",20,18265,1328652,28023,45466,2016107,76754,2507241,119296,182184,483224,2720,622862,1026000,8543,44,390.27673,819.58075,1168.4875,1591.4043,176.7265,2028.0288,0,4,3196,6,11,18,1,23,41,1,156,2,235,3,434,3,727,3,1147,4,1663,0,0,0,3,0,0,0,112,"Manual count",150,134671,9796331,206623,335228,14865029,565919,18415646,879590,1343271,3562877,20061,4592449,7564839,62990,35,305,272615,19830630,418266,678600,30091152,1145587,37284817,1780547,2719174,7212303,40610,9296457,15313440,127511,0,0,0,0,0,0,0,0,7291,0,0,5,0,17,63,0,261,0,407,0,915,0,1537,0,2586,0,3488,0.57421225,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.7629720113722972,51.48000945532587]}",0,0,87.20168,182.3725,400.97208,729.58987,1070.2825,1371.47193,0,0,0,0,0,0,"highway","rural"
"00000000000000001106_0",3498567.5,3408007.5,983,"UK",457,10068,1181113,14178,23712,1508130,42952,2062538,59046,92128,272057,1563,347981,732969,6041,70,0,0,0,0,0,406.96954,2,81,2266,96,121,140,5,162,228,9,287,16,311,27,338,37,511,47,869,60,1365,0,1,0,0,0,0,0,0,"Manual count",3374,74232,8708507,104536,174832,11119649,316693,15207374,435354,679276,2005916,11530,2565714,5404284,44547,1588,6830,150269,17628558,211612,353911,22509412,641080,30868451,881284,1375053,4060559,23342,5193754,10939847,90178,0,0,0,0,0,0,5,183,3311,221,282,315,13,350,439,28,459,43,467,65,488,85,703,106,1302,131,2060,1.035729,0,0,35,165,0,220,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.3603545686165055,53.14790111194324]}",0,0,25.507627,153.15773,522.77435,926.37305,1382.6758,2153.7612,184.3267,420.66647,1178.8948,2527.5942,4730.8125,7403.2085,"residential","urban"
